key,filename,total_dur,silence_count,silence_index,silence_start,silence_end,silence_dur
g4190,g4190.mp3,7.497125,3,1,3.005669,3.543311,0.537642
g4190,g4190.mp3,7.497125,3,2,4.453628,5.488322,1.034694
g4191,g4191.mp3,13.792625,6,0,0.0,1.04356,1.04356
g4191,g4191.mp3,13.792625,6,1,3.113129,3.691701,0.578571
g4191,g4191.mp3,13.792625,6,2,4.807891,5.837506,1.029615
g4191,g4191.mp3,13.792625,6,3,7.023583,8.055306,1.031723
g4191,g4191.mp3,13.792625,6,4,8.97161,10.000635,1.029025
g4191,g4191.mp3,13.792625,6,5,10.855986,11.882948,1.026961
g4192,g4192.mp3,7.131375,3,0,0.0,1.027052,1.027052
g4192,g4192.mp3,7.131375,3,1,3.259206,3.78356,0.524354
g4192,g4192.mp3,7.131375,3,2,4.437506,5.455669,1.018163
g4193,g4193.mp3,7.52325,3,0,0.0,1.039456,1.039456
g4193,g4193.mp3,7.52325,3,1,3.186372,3.703447,0.517075
g4193,g4193.mp3,7.52325,3,2,4.605782,5.627347,1.021565
g4194,g4194.mp3,7.31425,3,0,0.0,1.043061,1.043061
g4194,g4194.mp3,7.31425,3,1,3.239977,3.751723,0.511746
g4194,g4194.mp3,7.31425,3,2,4.505329,5.54585,1.040522
g4195,g4195.mp3,7.340375,3,0,0.0,1.044966,1.044966
g4195,g4195.mp3,7.340375,3,1,3.237506,3.755261,0.517755
g4195,g4195.mp3,7.340375,3,2,4.488413,5.530703,1.04229
g4196,g4196.mp3,7.75825,3,0,0.0,1.038594,1.038594
g4196,g4196.mp3,7.75825,3,1,3.49966,4.042472,0.542812
g4196,g4196.mp3,7.75825,3,2,4.855624,5.887234,1.03161
g4197,g4197.mp3,6.89625,3,0,0.0,1.044263,1.044263
g4197,g4197.mp3,6.89625,3,1,3.168866,3.673492,0.504626
g4197,g4197.mp3,6.89625,3,2,4.24737,5.274989,1.027619
g4198,g4198.mp3,6.765625,3,0,0.0,1.043605,1.043605
g4198,g4198.mp3,6.765625,3,1,3.001905,3.514535,0.51263
g4198,g4198.mp3,6.765625,3,2,4.093243,5.11746,1.024218
g4199,g4199.mp3,7.20975,3,0,0.0,1.036644,1.036644
g4199,g4199.mp3,7.20975,3,1,3.202358,3.723175,0.520816
g4199,g4199.mp3,7.20975,3,2,4.444082,5.451361,1.007279
g4200,g4200.mp3,7.20975,3,0,0.0,1.040431,1.040431
g4200,g4200.mp3,7.20975,3,1,2.811383,3.317052,0.505669
g4200,g4200.mp3,7.20975,3,2,4.230952,5.250839,1.019887
g4201,g4201.mp3,14.08,6,0,0.0,1.048549,1.048549
g4201,g4201.mp3,14.08,6,1,3.015714,3.540408,0.524694
g4201,g4201.mp3,14.08,6,2,4.383832,5.420113,1.036281
g4201,g4201.mp3,14.08,6,3,6.234807,7.292971,1.058163
g4201,g4201.mp3,14.08,6,4,9.413878,10.440862,1.026984
g4201,g4201.mp3,14.08,6,5,11.267052,12.305737,1.038685
g4202,g4202.mp3,7.10525,3,0,0.0,1.035057,1.035057
